Var1,Var2
738932.930555556,1
738932.934027778,1
738932.9375,1
738932.940972222,1
738932.944444444,1
738932.947916667,1
738932.951388889,1
738932.954861111,1
738932.958333333,1
738932.961805556,1
738932.965277778,1
738932.96875,2
738932.972222222,1
738932.975694444,1
738932.979166667,1
738932.982638889,1
738932.986111111,1
738932.989583333,2
738932.993055556,2
738932.996527778,2
738933,2
738933.003472222,2
738933.006944444,2
738933.010416667,2
738933.013888889,2
738933.017361111,2
738933.020833333,2
738933.024305556,2
738933.027777778,2
738933.03125,2
738933.034722222,2
738933.038194444,2
738933.041666667,2
738933.045138889,2
738933.048611111,2
738933.052083333,2
738933.055555556,2
738933.059027778,2
738933.0625,2
738933.065972222,2
738933.069444444,2
738933.072916667,0
738933.076388889,2
738933.079861111,2
738933.083333333,2
738933.086805556,2
738933.090277778,2
738933.09375,2
738933.097222222,2
738933.100694444,1
738933.104166667,2
738933.107638889,1
738933.111111111,2
738933.114583333,2
738933.118055556,2
738933.121527778,2
738933.125,2
738933.128472222,2
738933.131944444,2
738933.135416667,2
738933.138888889,2
738933.142361111,2
738933.145833333,2
738933.149305556,2
738933.152777778,2
738933.15625,2
738933.159722222,2
738933.163194444,2
738933.166666667,2
738933.170138889,2
738933.173611111,2
738933.177083333,2
738933.180555556,2
738933.184027778,2
738933.1875,2
738933.190972222,2
738933.194444444,2
738933.197916667,2
738933.201388889,2
738933.204861111,2
738933.208333333,2
738933.211805556,2
738933.215277778,2
738933.21875,2
738933.222222222,2
738933.225694444,2
738933.229166667,2
738933.232638889,2
738933.236111111,2
738933.239583333,2
738933.243055556,2
738933.246527778,2
738933.25,2
738933.253472222,2
738933.256944444,2
738933.260416667,2
738933.263888889,2
738933.267361111,2
738933.270833333,2
738933.274305556,2
738933.277777778,2
738933.28125,2
738933.284722222,2
738933.288194444,2
738933.291666667,2
738933.295138889,2
738933.298611111,2
738933.302083333,2
738933.305555556,2
738933.309027778,2
738933.3125,2
738933.315972222,2
738933.319444444,2
738933.322916667,2
738933.326388889,2
738933.329861111,2
738933.333333333,2
738933.336805556,2
738933.340277778,2
738933.34375,2
738933.347222222,2
738933.350694444,2
738933.354166667,2
738933.357638889,2
738933.361111111,2
738933.364583333,2
738933.368055556,2
738933.371527778,2
738933.375,2
738933.378472222,2
738933.381944444,2
738933.385416667,2
738933.388888889,2
738933.392361111,2
738933.395833333,2
738933.399305556,2
738933.402777778,2
738933.40625,2
738933.409722222,2
738933.413194444,2
738933.416666667,2
738933.420138889,2
738933.423611111,2
738933.427083333,2
738933.430555556,2
738933.434027778,2
738933.4375,2
738933.440972222,2
738933.444444444,2
738933.447916667,2
738933.451388889,2
738933.454861111,2
738933.458333333,2
738933.461805556,2
738933.465277778,2
738933.46875,2
738933.472222222,2
738933.475694444,2
738933.479166667,2
738933.482638889,2
738933.486111111,2
738933.489583333,2
738933.493055556,2
738933.496527778,2
738933.5,2
738933.503472222,2
738933.506944444,2
738933.510416667,2
738933.513888889,2
738933.517361111,2
738933.520833333,2
738933.524305556,2
738933.527777778,2
738933.53125,2
738933.534722222,2
738933.538194444,2
738933.541666667,2
738933.545138889,2
738933.548611111,2
738933.552083333,2
738933.555555556,2
738933.559027778,2
738933.5625,2
738933.565972222,2
738933.569444444,2
738933.572916667,2
738933.576388889,2
738933.579861111,2
